category_code,category_name
1009,Abstract Strategy
1032,Action / Dexterity
1022,Adventure
2726,Age of Reason
1048,American Civil War
1108,American Indian Wars
1075,American Revolutionary War
1055,American West
1050,Ancient
1089,Animals
1052,Arabian
2650,Aviation / Flight
1023,Bluffing
1117,Book
1002,Card Game
1041,Children's Game
1029,City Building
1102,Civil War
1015,Civilization
1044,Collectible Components
1116,Comic Book / Strip
1039,Deduction
1017,Dice
1021,Economic
1094,Educational
1072,Electronic
1084,Environmental
1042,Expansion for Base-game
1020,Exploration
2687,Fan Expansion
1010,Fantasy
1013,Farming
1046,Fighting
1119,Game System
1024,Horror
1079,Humor
1088,Industry / Manufacturing
1091,Korean War
1033,Mafia
1104,Math
1118,Mature / Adult
1059,Maze
2145,Medical
1035,Medieval
1045,Memory
1047,Miniatures
1069,Modern Warfare
1064,Movies / TV / Radio theme
1040,Murder/Mystery
1054,Music
1082,Mythology
1051,Napoleonic
1008,Nautical
1026,Negotiation
1093,Novel-based
1098,Number
1030,Party Game
2725,Pike and Shot
1090,Pirates
1001,Political
2710,Post-Napoleonic
1036,Prehistoric
1120,Print & Play
1028,Puzzle
1031,Racing
1037,Real-time
1115,Religious
1070,Renaissance
1016,Science Fiction
1113,Space Exploration
1081,Spies/Secret Agents
1038,Sports
1086,Territory Building
1034,Trains
1011,Transportation
1097,Travel
1027,Trivia
1101,Video Game Theme
1109,Vietnam War
1019,Wargame
1025,Word Game
1065,World War I
1049,World War II
2481,Zombies
